,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,FAM,Cg_18s(1408/9),Unkn,NTC1_ctenidia,,23.2104906104924,23.2104906104924,0,NaN,NaN,NaN,0,60,
,A02,FAM,Cg_18s(1408/9),Unkn,NTC2_ctenidia,,20.6513213709478,20.6513213709478,0,NaN,NaN,NaN,0,60,
,A03,FAM,Cg_18s(1408/9),Unkn,NTH1_ctenidia,,21.2873164407236,21.2873164407236,0,NaN,NaN,NaN,0,60,
,A04,FAM,Cg_18s(1408/9),Unkn,NTH2_ctenidia,,21.328134177945,21.328134177945,0,NaN,NaN,NaN,0,60,
,A05,FAM,Cg_18s(1408/9),Unkn,NTHM1_ctenidia,,21.9346886470866,21.9346886470866,0,NaN,NaN,NaN,0,60,
,A06,FAM,Cg_18s(1408/9),Unkn,NTHM2_ctenidia,,21.6729228470218,21.6729228470218,0,NaN,NaN,NaN,0,60,
,A07,FAM,Cg_18s(1408/9),Unkn,NTM1_ctenidia,,22.8621997020583,22.8621997020583,0,NaN,NaN,NaN,0,60,
,A08,FAM,Cg_18s(1408/9),Unkn,NTM2_ctendia,,21.138537633378,21.138537633378,0,NaN,NaN,NaN,0,60,
,A09,FAM,Cg_18s(1408/9),Unkn,TC1_ctenidia,,21.7045038816757,21.7045038816757,0,NaN,NaN,NaN,0,60,
,A10,FAM,Cg_18s(1408/9),Unkn,TC2_ctendia,,21.9122192287074,21.9122192287074,0,NaN,NaN,NaN,0,60,
,A11,FAM,Cg_18s(1408/9),Unkn,TH1_ctenidia,,23.4551788513802,23.4551788513802,0,NaN,NaN,NaN,0,60,
,A12,FAM,Cg_18s(1408/9),Unkn,TH2_ctenidia,,22.3557542995583,22.3557542995583,0,NaN,NaN,NaN,0,60,
,B01,FAM,Cg_18s(1408/9),Unkn,THM1_ctenidia,,24.6691518181647,24.6691518181647,0,NaN,NaN,NaN,0,60,
,B02,FAM,Cg_18s(1408/9),Unkn,THM2_ctenidia,,22.4372389064622,22.4372389064622,0,NaN,NaN,NaN,0,60,
,B03,FAM,Cg_18s(1408/9),Unkn,TM1_ctendia,,22.2921156176929,22.2921156176929,0,NaN,NaN,NaN,0,60,
,B04,FAM,Cg_18s(1408/9),Unkn,TM2_ctenidia,,22.0664428384903,22.0664428384903,0,NaN,NaN,NaN,0,60,
,B05,FAM,Cg_18s(1408/9),NTC-1,,,36.7138834868085,36.4052513428501,0.436471763770187,NaN,NaN,NaN,NaN,60,
