Well,Fluor,Target,Content,Subgroup,Biological Set Name,Cq,Cq Mean,AEV,History
A01,FAM,Cg_18s(1408/9),Unkn,C,,23.21049061,23.21049061,27733.21562,NT
A02,FAM,Cg_18s(1408/9),Unkn,C,,20.65132137,20.65132137,163614.5806,NT
A03,FAM,Cg_18s(1408/9),Unkn,H,,21.28731644,21.28731644,105259.2541,NT
A04,FAM,Cg_18s(1408/9),Unkn,H,,21.32813418,21.32813418,102321.2849,NT
A05,FAM,Cg_18s(1408/9),Unkn,HM,,21.93468865,21.93468865,67184.91602,NT
A06,FAM,Cg_18s(1408/9),Unkn,HM,,21.67292285,21.67292285,80559.29141,NT
A07,FAM,Cg_18s(1408/9),Unkn,M,,22.8621997,22.8621997,35310.62872,NT
A08,FAM,Cg_18s(1408/9),Unkn,M,,21.13853763,21.13853763,116700.4326,NT
A09,FAM,Cg_18s(1408/9),Unkn,C,,21.70450388,21.70450388,78814.01121,T
A10,FAM,Cg_18s(1408/9),Unkn,C,,21.91221923,21.91221923,68240.08638,T
A11,FAM,Cg_18s(1408/9),Unkn,H,,23.45517885,23.45517885,23404.54111,T
A12,FAM,Cg_18s(1408/9),Unkn,H,,22.3557543,22.3557543,50170.31235,T
B01,FAM,Cg_18s(1408/9),Unkn,HM,,24.66915182,24.66915182,10084.4327,T
B02,FAM,Cg_18s(1408/9),Unkn,HM,,22.43723891,22.43723891,47413.67738,T
B03,FAM,Cg_18s(1408/9),Unkn,M,,22.29211562,22.29211562,52434.21557,T
B04,FAM,Cg_18s(1408/9),Unkn,M,,22.06644284,22.06644284,61317.9203,T
C01,FAM,Cg_ATPsynthase(1385/6),Unkn,C,,26.69334202,26.69334202,2477.224597,NT
C02,FAM,Cg_ATPsynthase(1385/6),Unkn,C,,27.67047987,27.67047987,1257.915484,NT
C03,FAM,Cg_ATPsynthase(1385/6),Unkn,H,,26.77350665,26.77350665,2343.25632,NT
C04,FAM,Cg_ATPsynthase(1385/6),Unkn,H,,27.39914814,27.39914814,1518.366384,NT
C05,FAM,Cg_ATPsynthase(1385/6),Unkn,HM,,27.20647488,27.20647488,1735.440651,NT
C06,FAM,Cg_ATPsynthase(1385/6),Unkn,HM,,27.22151467,27.22151467,1717.432913,NT
C07,FAM,Cg_ATPsynthase(1385/6),Unkn,M,,26.28449109,26.28449109,3289.359067,NT
C08,FAM,Cg_ATPsynthase(1385/6),Unkn,M,,27.04334896,27.04334896,1943.315404,NT
C09,FAM,Cg_ATPsynthase(1385/6),Unkn,C,,28.87035435,28.87035435,547.330021,T
C10,FAM,Cg_ATPsynthase(1385/6),Unkn,C,,28.22305009,28.22305009,857.4667984,T
C11,FAM,Cg_ATPsynthase(1385/6),Unkn,H,,28.71905584,28.71905584,607.8835359,T
C12,FAM,Cg_ATPsynthase(1385/6),Unkn,H,,27.78182039,27.78182039,1164.436201,T
D01,FAM,Cg_ATPsynthase(1385/6),Unkn,HM,,28.60907904,28.60907904,656.0627698,T
