Well,Fluor,Target,Content,Subgroup,Sample,Biological Set Name,Cq,Cq Mean,History
A01,FAM,Cg_HSP70(598/9),Unkn,C,NTC1_ctenidia,,31.17211055,31.17211055,NT
A02,FAM,Cg_HSP70(598/9),Unkn,C,NTC2_ctenidia,,28.91862536,28.91862536,NT
A03,FAM,Cg_HSP70(598/9),Unkn,H,NTH1_ctenidia,,29.76429619,29.76429619,NT
A04,FAM,Cg_HSP70(598/9),Unkn,H,NTH2_ctenidia,,29.62659647,29.62659647,NT
A05,FAM,Cg_HSP70(598/9),Unkn,HM,NTHM1_ctenidia,,27.90717863,27.90717863,NT
A06,FAM,Cg_HSP70(598/9),Unkn,HM,NTHM2_ctenidia,,29.5377203,29.5377203,NT
A07,FAM,Cg_HSP70(598/9),Unkn,M,NTM1_ctenidia,,31.83402252,31.83402252,NT
A08,FAM,Cg_HSP70(598/9),Unkn,M,NTM2_ctendia,,31.26353345,31.26353345,NT
A09,FAM,Cg_HSP70(598/9),Unkn,C,TC1_ctenidia,,30.45214926,30.45214926,T
A10,FAM,Cg_HSP70(598/9),Unkn,C,TC2_ctendia,,29.74528379,29.74528379,T
A11,FAM,Cg_HSP70(598/9),Unkn,H,TH1_ctenidia,,32.16981553,32.16981553,T
A12,FAM,Cg_HSP70(598/9),Unkn,H,TH2_ctenidia,,29.89659721,29.89659721,T
B01,FAM,Cg_HSP70(598/9),Unkn,HM,THM1_ctenidia,,31.08466786,31.08466786,T
B02,FAM,Cg_HSP70(598/9),Unkn,HM,THM2_ctenidia,,30.36092225,30.36092225,T
B03,FAM,Cg_HSP70(598/9),Unkn,M,TM1_ctendia,,31.4482671,31.4482671,T
B04,FAM,Cg_HSP70(598/9),Unkn,M,TM2_ctenidia,,30.64174275,30.64174275,T
C01,FAM,Cg_HSP90(1532/3),Unkn,C,NTC1_ctenidia,,26.62238668,26.62238668,NT
C02,FAM,Cg_HSP90(1532/3),Unkn,C,NTC2_ctenidia,,26.50527552,26.50527552,NT
C03,FAM,Cg_HSP90(1532/3),Unkn,H,NTH1_ctenidia,,25.68764069,25.68764069,NT
C04,FAM,Cg_HSP90(1532/3),Unkn,H,NTH2_ctenidia,,26.84398982,26.84398982,NT
C05,FAM,Cg_HSP90(1532/3),Unkn,HM,NTHM1_ctenidia,,26.12292212,26.12292212,NT
C06,FAM,Cg_HSP90(1532/3),Unkn,HM,NTHM2_ctenidia,,26.45768875,26.45768875,NT
C07,FAM,Cg_HSP90(1532/3),Unkn,M,NTM1_ctenidia,,26.90644114,26.90644114,NT
C08,FAM,Cg_HSP90(1532/3),Unkn,M,NTM2_ctendia,,26.3837508,26.3837508,NT
C09,FAM,Cg_HSP90(1532/3),Unkn,C,TC1_ctenidia,,27.55742956,27.55742956,T
C10,FAM,Cg_HSP90(1532/3),Unkn,C,TC2_ctendia,,25.24229656,25.24229656,T
C11,FAM,Cg_HSP90(1532/3),Unkn,H,TH1_ctenidia,,27.02948332,27.02948332,T
C12,FAM,Cg_HSP90(1532/3),Unkn,H,TH2_ctenidia,,26.79132442,26.79132442,T
D01,FAM,Cg_HSP90(1532/3),Unkn,HM,THM1_ctenidia,,25.69559761,25.69559761,T
D02,FAM,Cg_HSP90(1532/3),Unkn,HM,THM2_ctenidia,,26.75601428,26.75601428,T
D03,FAM,Cg_HSP90(1532/3),Unkn,M,TM1_ctendia,,25.25407671,25.25407671,T
D04,FAM,Cg_HSP90(1532/3),Unkn,M,TM2_ctenidia,,NaN,0,T
E01,FAM,Cg_VIPERIN(1828/9),Unkn,C,NTC1_ctenidia,,31.38620743,31.38620743,NT
E02,FAM,Cg_VIPERIN(1828/9),Unkn,C,NTC2_ctenidia,,33.24982264,33.24982264,NT
E03,FAM,Cg_VIPERIN(1828/9),Unkn,H,NTH1_ctenidia,,32.02704598,32.02704598,NT
E04,FAM,Cg_VIPERIN(1828/9),Unkn,H,NTH2_ctenidia,,31.81852513,31.81852513,NT
E05,FAM,Cg_VIPERIN(1828/9),Unkn,HM,NTHM1_ctenidia,,32.7667315,32.7667315,NT
E06,FAM,Cg_VIPERIN(1828/9),Unkn,HM,NTHM2_ctenidia,,32.02513601,32.02513601,NT
E07,FAM,Cg_VIPERIN(1828/9),Unkn,M,NTM1_ctenidia,,30.3307762,30.3307762,NT
E08,FAM,Cg_VIPERIN(1828/9),Unkn,M,NTM2_ctendia,,32.28304381,32.28304381,NT
E09,FAM,Cg_VIPERIN(1828/9),Unkn,C,TC1_ctenidia,,34.76868977,34.76868977,T
E10,FAM,Cg_VIPERIN(1828/9),Unkn,C,TC2_ctendia,,32.72683967,32.72683967,T
E11,FAM,Cg_VIPERIN(1828/9),Unkn,H,TH1_ctenidia,,34.37338666,34.37338666,T
E12,FAM,Cg_VIPERIN(1828/9),Unkn,H,TH2_ctenidia,,32.3652898,32.3652898,T
F01,FAM,Cg_VIPERIN(1828/9),Unkn,HM,THM1_ctenidia,,32.31367279,32.31367279,T
F02,FAM,Cg_VIPERIN(1828/9),Unkn,HM,THM2_ctenidia,,33.17865719,33.17865719,T
F03,FAM,Cg_VIPERIN(1828/9),Unkn,M,TM1_ctendia,,32.40820826,32.40820826,T
F04,FAM,Cg_VIPERIN(1828/9),Unkn,M,TM2_ctenidia,,32.2629539,32.2629539,T
